,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
464,Kloulklubed,PW,7.0419,134.2556,80.6,83,75,5.75,broken clouds
465,Zeya,RU,53.75,127.2667,-20.94,83,0,1.9,clear sky
466,Calamar,CO,10.2511,-74.9146,73.4,94,0,2.3,clear sky
467,Kasongo-Lunda,CD,-6.4667,16.8167,73.99,88,100,3.36,overcast clouds
468,Paamiut,GL,61.994,-49.6678,22.89,87,25,6.04,scattered clouds
469,Teguise,ES,29.0605,-13.564,66.2,88,40,9.22,fog
470,Nemuro,JP,43.3236,145.575,19.4,79,20,2.3,few clouds
471,Shieli,KZ,44.1667,66.75,21.2,86,27,11.88,scattered clouds
472,Alyangula,AU,-13.8483,136.4192,80.6,94,90,9.28,overcast clouds
473,Andijon,UZ,40.7821,72.3442,33.82,78,100,7.09,overcast clouds
474,Kabalo,CD,-6.05,26.9167,69.39,96,100,0.98,light rain
475,Muisne,EC,0.6,-80.0333,74.41,91,99,6.17,moderate rain
476,Mpanda,TZ,-6.3655,31.0409,75.29,73,100,4.83,overcast clouds
477,Nichinan,JP,31.6,131.3667,64.4,94,75,8.05,broken clouds
478,Franklin Park,US,41.9353,-87.8656,23.0,53,1,19.57,clear sky
479,Tepalcatepec,MX,19.1833,-102.85,71.47,41,9,3.0,clear sky
480,Huarmey,PE,-10.0681,-78.1522,69.55,84,75,6.22,broken clouds
481,Fort Nelson,CA,58.8053,-122.7002,5.0,92,1,2.3,clear sky
482,Skibbereen,IE,51.55,-9.2667,35.6,93,75,9.22,broken clouds
483,Tautira,PF,-17.7333,-149.15,78.01,74,14,23.0,light rain
484,Ceglie Messapica,IT,40.6439,17.5155,60.8,59,20,8.05,few clouds
485,Faanui,PF,-16.4833,-151.75,81.03,73,57,16.24,light rain
486,Hurghada,EG,27.2574,33.8129,66.2,32,0,9.22,clear sky
487,Kenora,CA,49.8167,-94.4337,-9.4,77,90,5.75,light snow
488,Wamba,NG,8.9333,8.6,90.48,12,17,4.74,few clouds
489,Marzuq,YE,14.4,46.4667,69.89,24,19,9.31,few clouds
490,Pozo Colorado,PY,-23.4923,-58.7972,72.81,96,8,4.16,clear sky
491,Kentau,KZ,43.5206,68.5094,12.97,92,98,6.08,overcast clouds
492,Ust-Kulom,RU,61.6864,53.6902,-11.67,88,23,3.62,few clouds
493,Sorong,ID,-0.8833,131.25,82.11,83,97,13.56,light rain
494,Yarim,YE,14.298,44.3779,64.09,24,0,2.28,clear sky
495,Bolshaya Rechka,RU,51.9503,104.7355,10.4,79,0,13.42,clear sky
496,College,US,64.8569,-147.8028,6.8,72,75,3.27,broken clouds
497,San Lorenzo De El Escorial,ES,40.5914,-4.1474,48.99,77,58,3.0,broken clouds
498,Santa Cruz Cabralia,BR,-16.2781,-39.0247,71.6,88,40,4.61,scattered clouds
499,Takoradi,GH,4.8845,-1.7554,83.61,71,100,3.69,overcast clouds
500,Cabedelo,BR,-6.9811,-34.8339,78.8,83,40,6.91,scattered clouds
501,Medvezhyegorsk,RU,62.9167,34.4667,4.46,93,100,10.29,snow
502,Narsaq,GL,60.9167,-46.05,17.6,62,0,2.3,clear sky
503,Noumea,NC,-22.2763,166.4572,77.0,69,90,5.75,overcast clouds
504,Waimana,NZ,-38.15,177.0833,60.01,74,67,1.54,broken clouds
505,Eston,CA,51.1501,-108.7514,21.2,86,90,10.36,light snow
506,Nishihara,JP,26.1842,127.7558,71.6,94,75,8.05,light rain
507,Pampas,PE,-12.4,-74.9,47.26,82,100,2.37,light rain
508,Puerto Madero,MX,14.7208,-92.4215,76.5,70,0,2.01,clear sky
509,Tarko-Sale,RU,64.9225,77.785,-43.87,79,44,11.43,scattered clouds
510,Paciran,ID,-6.8767,112.3761,80.73,83,83,13.27,heavy intensity rain
511,Esmeraldas,BR,-19.7625,-44.3139,68.0,77,0,4.61,clear sky
512,Bafq,IR,31.6128,55.4107,44.49,48,0,11.36,clear sky
513,Pirenopolis,BR,-15.8525,-48.9592,66.2,72,0,6.91,clear sky
514,Hastings,GB,50.8552,0.5729,39.0,84,53,1.01,broken clouds
515,Mayo,US,38.8876,-76.5119,37.4,56,1,3.44,clear sky
516,Bakchar,RU,57.0186,82.0711,-4.52,91,100,5.84,overcast clouds
517,Bantry,IE,51.6833,-9.45,37.4,93,75,4.61,broken clouds
518,Garissa,KE,-0.4536,39.6401,85.96,56,100,9.4,overcast clouds
519,Vanavara,RU,60.34,102.2797,-32.03,81,97,8.95,overcast clouds
520,Ust-Maya,RU,60.4167,134.5333,-52.78,74,56,0.25,broken clouds
521,Vaitape,PF,-16.5167,-151.75,81.05,73,53,16.28,light rain
522,Korla,CN,41.7597,86.1469,32.29,74,92,3.56,overcast clouds
523,Cockburn Town,TC,21.4612,-71.1419,75.88,72,94,12.37,overcast clouds
524,Saint-Pierre,RE,-21.3393,55.4781,89.6,62,75,9.22,light rain
525,Keskin,TR,39.6731,33.6136,37.99,57,36,2.55,scattered clouds
526,Maarianhamina,AX,60.0973,19.9348,41.0,87,90,13.8,moderate rain
527,Nanyamba,TZ,-10.6833,39.8333,86.0,74,75,25.32,light rain
528,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,94,20,3.31,few clouds
529,Tasiilaq,GL,65.6145,-37.6368,10.4,72,34,2.3,scattered clouds
530,Missouri City,US,29.6186,-95.5377,66.2,94,90,3.44,mist
531,Senden,DE,48.3244,10.0444,46.0,65,75,9.22,broken clouds
532,Deputatskiy,RU,69.3,139.9,-38.61,81,0,2.95,clear sky
533,Havelock,US,34.8791,-76.9013,45.0,81,90,8.05,overcast clouds
534,Nola,IT,40.922,14.5329,57.99,80,100,1.99,overcast clouds
535,Kihei,US,20.785,-156.4656,71.6,68,1,10.36,clear sky
536,Dekar,BW,-21.5333,21.9333,77.04,67,93,15.68,light rain
537,Saldanha,ZA,-33.0117,17.9442,86.0,37,21,8.05,few clouds
538,Ribeira Brava,PT,32.65,-17.0667,64.99,82,7,1.99,clear sky
539,Zhuhai,CN,22.2769,113.5678,69.8,83,20,2.3,mist
540,Raudeberg,NO,61.9875,5.1352,37.99,73,86,10.83,overcast clouds
541,Potiskum,NG,11.7091,11.0694,78.48,18,35,14.83,scattered clouds
542,Aksu,CN,41.1231,80.2644,36.7,61,85,3.11,overcast clouds
543,Whitianga,NZ,-36.8333,175.7,62.01,79,0,7.83,clear sky
544,Balikpapan,ID,-1.2675,116.8289,82.4,83,20,1.14,few clouds
545,Ustek,CZ,50.5847,14.3433,51.8,54,0,9.22,clear sky
546,Kurumkan,RU,54.3,110.3,-9.6,83,37,1.52,scattered clouds
547,Saint-Francois,FR,46.4154,3.9054,48.0,93,90,1.14,light rain
548,Stromness,GB,58.965,-3.296,39.2,75,40,26.46,scattered clouds
549,Avera,US,33.194,-82.5271,48.2,98,90,6.62,mist
550,Nalut,LY,30.3333,10.85,57.49,35,0,7.99,clear sky
551,Zavodskoy,RU,43.4597,132.2922,14.0,48,0,6.71,clear sky
552,Komsomolskiy,UZ,40.4272,71.7189,33.8,40,75,18.41,light snow
553,Koson,UZ,39.0375,65.585,28.4,64,20,2.3,few clouds
554,Barra Do Garcas,BR,-15.89,-52.2567,71.98,87,84,1.83,broken clouds
555,Waingapu,ID,-9.6567,120.2641,82.22,77,91,9.89,moderate rain
556,Broken Hill,AU,-31.95,141.4333,91.4,9,0,9.22,clear sky
557,Honningsvag,NO,70.9821,25.9704,17.6,67,20,27.63,few clouds
558,Mount Isa,AU,-20.7333,139.5,78.8,61,77,8.05,broken clouds
559,Narathiwat,TH,6.3333,101.75,84.2,70,20,6.91,few clouds
560,Terra Santa,BR,-2.1042,-56.4869,70.5,98,64,1.48,light rain
561,Maraba,BR,-5.3686,-49.1178,73.4,100,0,1.5,clear sky
562,Byron Bay,AU,-28.65,153.6167,73.4,64,58,8.05,broken clouds
563,Alberton,CA,46.8168,-64.0654,23.0,58,23,8.05,few clouds
564,Yenagoa,NG,4.9247,6.2642,87.91,59,74,2.04,broken clouds
565,Krasnoarmeyskoye,RU,52.7182,50.0322,8.82,94,97,5.28,overcast clouds
566,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.28,88,88,2.53,overcast clouds
567,Menongue,AO,-14.6585,17.691,79.3,39,58,5.77,broken clouds
568,Husavik,IS,66.0449,-17.3389,26.6,93,90,20.71,snow
569,Vilhena,BR,-12.7406,-60.1458,65.84,98,100,1.54,light rain
570,Katangli,RU,51.7102,143.2326,-4.83,90,100,11.56,overcast clouds
571,Nipawin,CA,53.3668,-104.0009,6.8,72,90,11.5,light snow
572,Kungurtug,RU,50.5994,97.5228,17.33,89,77,2.28,broken clouds
573,Ayan,RU,56.45,138.1667,-20.34,72,100,12.95,overcast clouds
574,Jalu,LY,29.0331,21.5482,58.37,36,28,9.42,scattered clouds
575,Bokony,HU,47.7333,21.75,48.2,76,0,18.41,light rain
576,Abha,SA,18.2164,42.5053,69.8,28,55,11.5,broken clouds
577,Naze,JP,28.3667,129.4833,66.2,94,75,12.66,light rain
578,Narasannapeta,IN,18.4167,84.05,80.46,63,9,11.56,clear sky
579,Aromashevo,RU,56.8602,68.6375,-12.17,89,36,5.21,scattered clouds
580,Hambantota,LK,6.1241,81.1185,89.6,66,92,10.36,light rain
581,San Policarpo,PH,12.1791,125.5072,80.98,83,1,6.55,clear sky
582,Sinjai,ID,-5.1241,120.253,81.9,81,44,3.69,light rain
583,Smidovich,RU,48.6,133.8167,-5.3,85,0,5.86,clear sky
584,Roma,US,43.2128,-75.4557,35.6,75,90,10.36,light snow
585,Civitavecchia,IT,42.0933,11.7967,51.01,96,100,8.01,overcast clouds
586,Tunkas,MX,20.9,-88.75,62.82,96,5,3.49,clear sky
587,Victor Harbor,AU,-35.5667,138.6167,80.6,22,0,11.5,clear sky
588,Touba,CI,8.2833,-7.6833,83.5,43,8,3.24,clear sky
589,Launceston,AU,-41.45,147.1667,66.0,55,100,11.5,overcast clouds
590,Juba,SS,4.8517,31.5825,99.1,18,100,5.84,overcast clouds
591,Nabire,ID,-3.3667,135.4833,79.38,84,100,2.37,moderate rain
592,Coihaique,CL,-45.5752,-72.0662,59.0,72,90,2.3,overcast clouds
593,Forbes,AU,-33.3833,148.0167,86.0,32,81,1.01,broken clouds
594,Udachnyy,RU,66.4167,112.4,-55.55,59,60,2.8,broken clouds
595,Umm Kaddadah,SD,13.6017,26.6876,75.58,18,30,17.11,scattered clouds
596,Santa Lucia,ES,27.9117,-15.5407,70.0,82,40,17.27,scattered clouds
597,Papendrecht,NL,51.8317,4.6875,39.99,93,14,7.0,few clouds
598,Mudgee,AU,-32.5943,149.5871,77.0,50,54,5.75,broken clouds
599,Dubti,ET,11.7361,41.0853,89.67,14,59,9.15,broken clouds
600,Iqaluit,CA,63.7506,-68.5145,32.0,86,75,27.63,light snow
601,Butterworth,MY,5.3991,100.3638,87.8,66,20,11.5,few clouds
602,Baruun-Urt,MN,46.6806,113.2792,5.29,89,97,9.46,overcast clouds
603,Ilulissat,GL,69.2167,-51.1,15.8,67,41,2.3,scattered clouds
604,Goderich,CA,43.7501,-81.7165,28.4,80,100,21.85,overcast clouds
605,Srandakan,ID,-7.9386,110.2506,83.25,69,96,3.94,heavy intensity rain
606,Alice Springs,AU,-23.7,133.8833,96.8,10,86,9.22,overcast clouds
607,Blagoyevo,RU,63.3667,47.9167,-12.01,88,7,4.14,clear sky
608,Burnie,AU,-41.0667,145.9167,64.0,73,100,10.0,overcast clouds
609,Porto Novo,BJ,6.4965,2.6036,84.2,74,71,5.75,haze
610,Mezen,RU,65.8522,44.24,-15.11,88,53,6.11,broken clouds
611,Kharp,RU,66.8014,65.8081,-35.12,77,1,1.07,clear sky
612,Voyvozh,RU,62.892,54.9635,-13.16,89,27,2.53,scattered clouds
613,Mitu,CO,1.1983,-70.1733,70.65,99,100,2.13,light rain
614,Buloh Kasap,MY,2.5536,102.764,82.4,83,20,3.94,few clouds
615,Hammerfest,NO,70.6634,23.6821,10.4,72,20,26.46,snow
616,Grand Island,US,40.925,-98.342,24.8,80,20,9.22,few clouds
617,Impfondo,CG,1.6381,18.0667,93.43,37,16,4.29,few clouds
618,Halifax,CA,44.6453,-63.5724,24.8,86,90,8.05,light snow
619,Myskhako,RU,44.6714,37.7433,48.2,66,40,26.84,scattered clouds
620,Kemijarvi,FI,66.7131,27.4306,10.92,93,100,14.36,light snow
621,Salinas,US,36.6777,-121.6555,51.8,76,90,2.04,overcast clouds
622,Senanga,ZM,-16.1167,23.2667,67.98,93,100,5.23,light rain
623,Novo Aripuana,BR,-5.1206,-60.3797,70.63,98,99,1.57,overcast clouds
624,Tainan,TW,22.9908,120.2133,66.99,82,75,5.75,mist
625,Cayenne,GF,4.9333,-52.3333,73.4,100,90,9.46,overcast clouds
626,Lata,PT,40.1629,-8.3327,48.99,92,80,8.99,broken clouds
627,Anloga,GH,5.7947,0.8973,84.2,74,40,6.91,scattered clouds
628,Xai-Xai,MZ,-25.0519,33.6442,83.28,54,8,10.6,clear sky
629,La Macarena,CO,2.1837,-73.7849,69.46,97,100,1.21,light rain
630,Rawson,AR,-43.3002,-65.1023,73.09,41,0,12.19,clear sky
631,Ust-Kuyga,RU,70.0167,135.6,-34.51,81,92,3.91,overcast clouds
632,Lerwick,GB,60.1545,-1.1494,37.4,87,40,24.16,light snow
633,Midland,US,31.9974,-102.0779,48.99,76,1,10.36,clear sky
634,Gat,IL,31.61,34.7642,62.01,40,0,4.0,clear sky
635,Tandil,AR,-37.3217,-59.1332,70.0,93,0,7.0,clear sky
636,Oro Valley,US,32.3909,-110.9665,46.99,88,22,1.99,few clouds
637,Pakxan,LA,18.3778,103.6601,86.77,30,27,4.0,scattered clouds
638,Sandusky,US,41.3501,-83.1332,34.0,76,95,7.0,overcast clouds
639,Canora,CA,51.6333,-102.4343,6.8,92,90,10.36,light snow
640,Caluquembe,AO,-13.7833,14.6833,76.66,26,74,9.73,broken clouds
641,Beyneu,KZ,45.3167,55.2,26.24,79,100,13.22,overcast clouds
642,Qaqortoq,GL,60.7167,-46.0333,17.6,62,0,2.3,clear sky
643,Krasnoselkup,RU,65.7,82.4667,-43.69,75,0,10.2,clear sky
644,Karoi,ZW,-16.8099,29.6925,74.59,84,97,4.27,moderate rain
645,Qena,EG,26.1615,32.7183,69.8,43,0,9.22,clear sky
646,Chippewa Falls,US,44.9369,-91.3929,5.0,72,1,11.5,clear sky
647,Acarau,BR,-2.8856,-40.12,79.05,81,100,12.08,overcast clouds
648,Storm Lake,US,42.6411,-95.2097,12.2,85,1,11.5,clear sky
649,Huatulco,MX,15.8436,-96.3267,69.01,83,0,3.67,clear sky
650,Yacuiba,BO,-22.038,-63.6797,69.82,62,98,3.58,overcast clouds
651,Haines Junction,CA,60.7522,-137.5108,-5.8,77,12,0.13,few clouds
652,Manicore,BR,-5.8092,-61.3003,70.68,99,100,1.59,overcast clouds
653,Burgdorf,DE,52.4463,10.0064,43.0,81,75,11.5,broken clouds
654,Matagami,CA,49.7502,-77.6328,6.8,85,90,5.75,light snow
655,Chimbote,PE,-9.0853,-78.5783,68.95,86,56,5.75,broken clouds
656,Manaus,BR,-3.1019,-60.025,73.4,94,0,2.13,clear sky
657,Sola,VU,-13.8833,167.55,82.54,74,94,10.27,light rain
658,Pangnirtung,CA,66.1451,-65.7125,19.47,82,13,8.63,few clouds
659,Lahij,YE,13.1667,44.5833,80.96,32,0,11.97,clear sky
660,Trincomalee,LK,8.5711,81.2335,80.94,73,96,8.61,overcast clouds
661,Bongor,TD,10.2806,15.3722,84.29,14,88,7.49,overcast clouds
662,Saint-Joseph,RE,-21.3667,55.6167,89.6,62,75,9.22,broken clouds
663,Pasighat,IN,28.0667,95.3333,70.2,47,1,1.74,clear sky
664,Qandala,SO,11.472,49.8728,77.5,49,14,8.08,few clouds
665,Pedasi,PA,7.5333,-80.0333,77.59,78,65,17.58,broken clouds
666,Rapid City,US,44.0805,-103.231,21.99,93,90,3.44,overcast clouds
667,Vincennes,FR,48.85,2.4333,41.0,93,90,5.75,overcast clouds
668,Zheleznodorozhnyy,RU,55.7503,38.0042,28.4,100,90,6.71,light snow
669,Saldana,CO,3.9292,-75.0152,71.94,90,95,1.01,overcast clouds
670,San Isidro,PE,-12.1167,-77.05,72.0,88,0,6.91,clear sky
671,Iquitos,PE,-3.7481,-73.2472,75.2,94,75,1.14,broken clouds
672,Manta,EC,-0.95,-80.7333,74.53,82,100,7.0,overcast clouds
673,Bathsheba,BB,13.2167,-59.5167,78.8,73,20,17.27,few clouds
674,Hervey Bay,AU,-25.2986,152.8535,75.99,66,91,3.0,overcast clouds
675,Sars,RU,56.5502,57.1366,8.56,95,100,2.82,overcast clouds
676,Mingshui,CN,36.7167,117.5,37.0,72,100,3.0,overcast clouds
677,Bonavista,CA,48.6499,-53.1147,30.0,100,100,13.8,snow
678,Caldwell,US,43.6629,-116.6874,33.01,100,90,4.61,mist
679,Navalmoral De La Mata,ES,39.8916,-5.5406,45.0,84,36,3.0,scattered clouds
680,Assisi,IT,43.0691,12.6165,55.4,76,75,8.05,broken clouds
681,Kerman,IR,30.2832,57.0788,41.0,33,82,4.61,broken clouds
682,Port-Gentil,GA,-0.7193,8.7815,78.8,89,90,5.75,light rain
683,Moree,AU,-29.4667,149.85,73.4,64,2,4.61,clear sky
684,Methven,NZ,-43.6333,171.65,59.0,65,48,3.0,moderate rain
685,Hvide Sande,DK,56.0045,8.1294,43.0,87,20,19.57,few clouds
686,Chernyshevskiy,RU,63.0128,112.4714,-56.76,63,51,2.15,broken clouds
687,Trinidad,BO,-14.8333,-64.9,70.99,96,100,3.11,light rain
688,Kamaishi,JP,39.2667,141.8833,39.2,60,75,4.61,broken clouds
689,Mpika,ZM,-11.8343,31.4529,65.75,90,100,8.39,overcast clouds
690,Zyryanka,RU,65.75,150.85,-44.45,78,41,4.56,scattered clouds
691,Kokemaki,FI,61.2565,22.3564,35.6,93,90,16.11,overcast clouds
692,Bani Walid,LY,31.7566,13.9942,61.65,31,0,13.49,clear sky
693,Umm Lajj,SA,25.0213,37.2685,76.01,28,1,3.44,clear sky
694,Huilong,CN,31.8111,121.655,50.0,98,100,4.0,overcast clouds
695,Lev Tolstoy,RU,53.2134,39.446,32.0,79,97,13.0,overcast clouds
696,Zonguldak,TR,41.25,31.8333,43.43,74,46,4.12,scattered clouds
697,Terme,TR,41.2092,36.9739,55.4,26,0,9.22,clear sky
